country,country/region,select_investors,company_link,img_src,company,valuation_currency,valuation,funding,company_cleaned
Indonesia,Asia,Gojek,https://www.crunchbase.com/organization/jd-id,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",JD.ID,B,1,0,JD.ID
Mexico,North America,BlackRock Private Equity Partners,https://www.crunchbase.com/organization/grupo-axo,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Grupo Axo,B,1,0,GRUPO AXO
China,Asia,Hillhouse Investment,https://www.crunchbase.com/organization/xiaoice,https://images.crunchbase.com/image/upload/t_cb-default-original/w7diynbwuzbrvnehh08y,Xiaoice,B,1,138,XIAOICE
India,Asia,Kinnevik,https://www.crunchbase.com/organization/quikr-india,https://images.crunchbase.com/image/upload/t_cb-default-original/e4vdmeoq1eok33iyu8fq,Quikr,B,1,334,QUIKR
India,Asia,Tiger Global Management,https://www.crunchbase.com/organization/quikr-india,https://images.crunchbase.com/image/upload/t_cb-default-original/e4vdmeoq1eok33iyu8fq,Quikr,B,1,334,QUIKR
United Kingdom,Europe,Teachers’ Venture Growth,https://www.crunchbase.com/organization/beamery,https://images.crunchbase.com/image/upload/t_cb-default-original/guhz1uyfqnmkjwj8lyhc,Beamery,B,1,223,BEAMERY
India,Asia,Abu Dhabi Investment Authority,https://www.crunchbase.com/organization/mobikwik,https://images.crunchbase.com/image/upload/t_cb-default-original/whka6jduemzyu5hi1evk,MobiKwik,B,1,149,MOBIKWIK
Spain,Europe,Atomico,https://www.crunchbase.com/organization/factorial,https://images.crunchbase.com/image/upload/t_cb-default-original/sad55rxhlbkuwsutuetv,Factorial,B,1,220,FACTORIAL
India,Asia,IIFL Finance,https://www.crunchbase.com/organization/open-5,https://images.crunchbase.com/image/upload/t_cb-default-original/kgatwqoxne1lc0rxrtgf,Open Financial Technologies,B,1,187,OPEN FINANCIAL TECHNOLOGIES
United States,North America,SoftBank Vision Fund,https://www.crunchbase.com/organization/rapidapi,https://images.crunchbase.com/image/upload/t_cb-default-original/r1otclpsq54uempa8x4v,Rapid,B,1,273,RAPID
United Kingdom,Europe,Andreessen Horowitz,https://www.crunchbase.com/organization/msquared-c612,https://images.crunchbase.com/image/upload/t_cb-default-original/ugjy9e4bbgjsnljlhuge,MSquared,B,1,150,MSQUARED
United Kingdom,Europe,SoftBank Vision Fund,https://www.crunchbase.com/organization/msquared-c612,https://images.crunchbase.com/image/upload/t_cb-default-original/ugjy9e4bbgjsnljlhuge,MSquared,B,1,150,MSQUARED
United States,North America,Abu Dhabi Growth Fund,https://www.crunchbase.com/organization/upside-foods,https://images.crunchbase.com/image/upload/t_cb-default-original/o2hhmain3esnfoyat9et,UPSIDE Foods,B,1,598,UPSIDE FOODS
United States,North America,Temasek Holdings,https://www.crunchbase.com/organization/upside-foods,https://images.crunchbase.com/image/upload/t_cb-default-original/o2hhmain3esnfoyat9et,UPSIDE Foods,B,1,598,UPSIDE FOODS
United States,North America,Buckley Ventures,https://www.crunchbase.com/organization/nexhealth,https://images.crunchbase.com/image/upload/t_cb-default-original/qtvd6lp9hzhnczip14or,NexHealth,B,1,177,NEXHEALTH
Sweden,Europe,Swedbank Robur,https://www.crunchbase.com/organization/instabox,https://images.crunchbase.com/image/upload/t_cb-default-original/qpadkc8y7vdhts9sq5zg,Instabox,B,1,292,INSTABOX
United States,North America,Hexagon,https://www.crunchbase.com/organization/divergent3d,https://images.crunchbase.com/image/upload/t_cb-default-original/s5ktdqwgpmunch28j8kj,Divergent,B,1,593,DIVERGENT
United States,North America,Goldman Sachs,https://www.crunchbase.com/organization/ispot-tv,https://images.crunchbase.com/image/upload/t_cb-default-original/fugh4fzrutfcpvx7jmvd,iSpot.tv,B,1,383,ISPOT.TV
South Korea,Asia,,https://www.crunchbase.com/organization/good-choice-company,https://images.crunchbase.com/image/upload/t_cb-default-original/zupcqnihwdzzluo13gq0,Good Choice Company,B,1,39,GOOD CHOICE COMPANY
Norway,Europe,Spark Capital,https://www.crunchbase.com/organization/remarkable-3,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",reMarkable,B,1,24,REMARKABLE
Colombia,South America,Homebrew,https://www.crunchbase.com/organization/habi-fefd,https://images.crunchbase.com/image/upload/t_cb-default-original/nkcvurly62ug51y2mhke,Habi,B,1,316,HABI
Colombia,South America,SOFTBANK Latin America Ventures,https://www.crunchbase.com/organization/habi-fefd,https://images.crunchbase.com/image/upload/t_cb-default-original/nkcvurly62ug51y2mhke,Habi,B,1,316,HABI
Japan,Asia,SCB 10X,https://www.crunchbase.com/organization/opn,https://images.crunchbase.com/image/upload/t_cb-default-original/ghnmwoe1gkafgrktctai,Opn,B,1,220,OPN
Japan,Asia,SPARX Group,https://www.crunchbase.com/organization/opn,https://images.crunchbase.com/image/upload/t_cb-default-original/ghnmwoe1gkafgrktctai,Opn,B,1,220,OPN
United States,North America,Hercules Capital,https://www.crunchbase.com/organization/semperis,https://images.crunchbase.com/image/upload/t_cb-default-original/xowhbzu4qtoq8e9gaylb,Semperis,B,1,373,SEMPERIS
United States,North America,JP Morgan,https://www.crunchbase.com/organization/semperis,https://images.crunchbase.com/image/upload/t_cb-default-original/xowhbzu4qtoq8e9gaylb,Semperis,B,1,373,SEMPERIS
Ireland,Europe,RPMI Railpen,https://www.crunchbase.com/organization/transfermate-global-payments,https://images.crunchbase.com/image/upload/t_cb-default-original/z2kepaoutxn3yduzdm2o,TransferMate,B,1,130,TRANSFERMATE
United States,North America,Eldridge Industries,https://www.crunchbase.com/organization/velocity-global,https://images.crunchbase.com/image/upload/t_cb-default-original/vglonscjpjrwwjh0wmoq,Velocity Global,B,1,500,VELOCITY GLOBAL
United States,North America,Norwest Venture Partners,https://www.crunchbase.com/organization/velocity-global,https://images.crunchbase.com/image/upload/t_cb-default-original/vglonscjpjrwwjh0wmoq,Velocity Global,B,1,500,VELOCITY GLOBAL
China,Asia,Coatue,https://www.crunchbase.com/organization/niutron,https://images.crunchbase.com/image/upload/t_cb-default-original/dfr2jf30lhlqwcskvcma,NIUTRON,B,1,500,NIUTRON
China,Asia,IDG Capital,https://www.crunchbase.com/organization/niutron,https://images.crunchbase.com/image/upload/t_cb-default-original/dfr2jf30lhlqwcskvcma,NIUTRON,B,1,500,NIUTRON
United States,North America,Tribe Capital,https://www.crunchbase.com/organization/jupiterone,https://images.crunchbase.com/image/upload/t_cb-default-original/xj1ae7y9db1wdwqzdwe3,JupiterOne,B,1,119,JUPITERONE
United States,North America,,https://www.crunchbase.com/organization/ultima-genomics,https://images.crunchbase.com/image/upload/t_cb-default-original/ckr4ra0n4vmr2dbiqrkq,Ultima Genomics,B,1,600,ULTIMA GENOMICS
United States,North America,Databricks Ventures,https://www.crunchbase.com/organization/immuta,https://images.crunchbase.com/image/upload/t_cb-default-original/muxln9o90mlwawqoxpr8,Immuta,B,1,258,IMMUTA
France,Europe,Astorg,https://www.crunchbase.com/organization/ecovadis,https://images.crunchbase.com/image/upload/t_cb-default-original/ghdsakmmvo7t5ujdntwj,EcoVadis,B,1,733,ECOVADIS
France,Europe,Beyond Net Zero,https://www.crunchbase.com/organization/ecovadis,https://images.crunchbase.com/image/upload/t_cb-default-original/ghdsakmmvo7t5ujdntwj,EcoVadis,B,1,733,ECOVADIS
